A S Roma=13
A S Rome=13
A. S. Roma=13
A. S. Rome=13
A.S. Roma=13
A.S. Rome=13
A.S.Roma=13
A.S.Rome=13
AS Roma=13
AS Rome=13
Alba Roma=13
Alba-Audace=13
As roma=13
Associazione Sportiva Roma=13
Associazione Sportiva Rome=13
La Maggica=13
S. Udinese G.S.=13
Udinese=13
Udinese Calcio=13
Udinese Calcio 1896=13
Hellas Verona=11
Hellas Verona A.C.=11
Hellas Verona F C=11
Hellas Verona F. C.=11
Hellas Verona F.C.=11
Hellas Verona F.Ctttyttrry.=11
Hellas Verona FC=11
Hellas Verona Football Club=11
A C Milan=10
A. C. Milan=10
A.C. Milan=10
AC Milan=10
Ac Milan=10
Ac milan=10
Associazione Calcio Milan=10
Associazione Calcio Milan SpA=10
Genoa (football)=10
Genoa 1893=10
Genoa C F C=10
Genoa C&FC=10
Genoa C. F. C.=10
Genoa C.F.C=10
Genoa C.F.C.=10
Genoa CFC=10
Genoa Cricket & Football Club=10
Genoa Cricket and Football Club=10
Genoa Football and Cricket Club=10
Genoa cricket and football club=10
Genova 1893=10
I Rossoneri=10
Milan A.C.=10
Milan AC=10
Milanello (mascot)=10
Rossoneri=10
A C ChievoVerona=9
A. C. ChievoVerona=9
A. C. Torino=9
A.C. Chievo=9
A.C. Chievo Verona=9
A.C. ChievoVerona=9
A.C. Chievoverona=9
A.C. Torino=9
AC Chievo Verona=9
AC ChievoVerona=9
AC Torino=9
AD Rayo Vallecano=9
Associazione Calcio Chievo=9
Associazione Calcio ChievoVerona=9
Chievo Verona=9
ChievoVerona=9
Chievoverona=9
FC Torino=9
Rayo=9
Rayo Vallecano=9
Rayo Vallecano de Madrid=9
Torino A.C.=9
Torino Calcio=9
Torino F C=9
Torino F. C.=9
Torino F.C.=9
Torino FC=9
Torino Football Club=9
Torino Football Club 1906=9
U.C. Chievo=9
AC Bologna=8
Athletic Aviacion=8
Athletic Aviación=8
Athletic Madrid=8
Athletico Madrd=8
Athletico Madrid=8
Athletico madrid=8
Atleti=8
Atletico Madrid=8
Atletico de Madrid=8
Atletico de madrid=8
Atlético Aviacion=8
Atlético Aviación=8
Atlético Aviación de Madrid=8
Atlético Madrid=8
Atlético de Madrid=8
Atlético de madrid=8
Bologna F C 1909=8
Bologna F. C. 1909=8
Bologna F.C.=8
Bologna F.C. 1909=8
Bologna FC=8
Bologna FC 1909=8
Bologna Football Club 1909=8
C. Atletico de Madrid=8
C. Atlético de Madrid=8
CF Granada=8
Club Atletico de Madrid=8
Club Atletico de Madrid, SAD=8
Club Atlético de Aviación=8
Club Atlético de Madrid=8
Club Atlético de Madrid, SAD=8
Colchonero=8
Colchoneros=8
FC Bologna=8
FC Granada=8
